epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.8232,0.58459,3.84767,1.01355,0.47149,0.67458,0.62183,0.60999,0.28346,3.64227,0.80108,0.000231568,0.000231568,0.000231568
2,76.2779,0.57547,1.84947,0.99116,0.71435,0.72346,0.7536,0.60775,0.50636,2.60361,0.92245,0.000464919,0.000464919,0.000464919
3,116.653,0.61589,1.58666,0.99441,0.58314,0.57959,0.63432,0.50117,0.518,2.33513,0.94742,0.000693558,0.000693558,0.000693558
4,157.026,0.62097,1.26417,1.01383,0.59268,0.79708,0.80654,0.75077,0.4142,1.92058,0.84964,0.000692794,0.000692794,0.000692794
5,198.762,0.6496,1.14242,1.01452,0.50604,0.89763,0.73485,0.59353,0.54769,2.24186,0.98963,0.000685726,0.000685726,0.000685726
6,240.86,0.62285,1.08383,0.97075,0.57176,0.90573,0.82391,0.76756,0.4107,1.17243,0.87607,0.000678657,0.000678657,0.000678657
7,282.547,0.62646,1.02988,0.97823,0.62918,0.83671,0.75734,0.67181,0.40222,1.27988,0.86685,0.000671588,0.000671588,0.000671588
8,326.449,0.56694,0.99429,0.98068,0.58727,0.93582,0.80411,0.74274,0.35143,1.1793,0.85231,0.00066452,0.00066452,0.00066452
9,368.59,0.58451,0.93555,0.97776,0.69208,0.91185,0.82165,0.75665,0.36623,1.08574,0.8782,0.000657451,0.000657451,0.000657451
10,410.398,0.56309,0.95364,0.9914,0.61038,0.92211,0.76454,0.69744,0.38449,1.08608,0.86421,0.000650383,0.000650383,0.000650383
11,452.647,0.53536,0.87277,0.95565,0.58395,0.8963,0.80075,0.75991,0.32512,0.84779,0.83788,0.000643314,0.000643314,0.000643314
12,493.217,0.54622,0.87946,0.95542,0.63042,0.973,0.79379,0.7443,0.34614,0.75724,0.84944,0.000636245,0.000636245,0.000636245
13,535.445,0.51745,0.90939,0.95621,0.59193,0.92075,0.77841,0.72757,0.35897,0.92685,0.86617,0.000629177,0.000629177,0.000629177
14,575.607,0.4886,0.84533,0.94138,0.67497,0.95926,0.79787,0.77077,0.28479,0.70569,0.83031,0.000622108,0.000622108,0.000622108
15,614.269,0.49556,0.82818,0.9458,0.65572,0.93759,0.80374,0.77147,0.28525,0.73074,0.83569,0.00061504,0.00061504,0.00061504
16,655.85,0.4952,0.81981,0.94897,0.62633,0.86579,0.84403,0.81306,0.32641,0.89378,0.85255,0.000607971,0.000607971,0.000607971
17,698.859,0.50346,0.85018,0.95965,0.62664,0.92618,0.78065,0.74343,0.32056,0.70437,0.84963,0.000600902,0.000600902,0.000600902
18,740.267,0.50857,0.81388,0.962,0.65368,0.93291,0.77378,0.7537,0.28513,0.88103,0.82523,0.000593834,0.000593834,0.000593834
19,783.108,0.47189,0.77409,0.92736,0.64683,0.9266,0.81982,0.80159,0.28678,0.66494,0.82968,0.000586765,0.000586765,0.000586765
20,824.889,0.48737,0.73634,0.96034,0.66882,0.96978,0.81851,0.80218,0.24698,0.60896,0.81243,0.000579697,0.000579697,0.000579697
21,866.466,0.46237,0.75891,0.92839,0.7075,0.95768,0.79448,0.78397,0.25085,0.63536,0.81424,0.000572628,0.000572628,0.000572628
22,910.652,0.46491,0.76191,0.93623,0.67043,0.91349,0.8233,0.81107,0.27087,0.62977,0.81248,0.000565559,0.000565559,0.000565559
23,952.286,0.4243,0.75105,0.92866,0.67639,0.95605,0.79573,0.78129,0.25846,0.65819,0.80995,0.000558491,0.000558491,0.000558491
24,996.042,0.44286,0.73969,0.92907,0.66159,0.85133,0.76774,0.75207,0.26292,0.81721,0.81941,0.000551422,0.000551422,0.000551422
25,1038.58,0.47137,0.73371,0.93744,0.65294,0.95926,0.79674,0.78471,0.22352,0.64201,0.81054,0.000544354,0.000544354,0.000544354
26,1080.88,0.42273,0.74137,0.91328,0.62943,0.93165,0.78064,0.76557,0.23482,0.77849,0.80962,0.000537285,0.000537285,0.000537285
27,1121.01,0.43697,0.69302,0.92194,0.6876,0.91481,0.85567,0.83922,0.25997,0.61091,0.8189,0.000530216,0.000530216,0.000530216
28,1161.72,0.42221,0.67938,0.91594,0.67859,0.97372,0.80826,0.79161,0.24561,0.63877,0.80918,0.000523148,0.000523148,0.000523148
29,1204.12,0.43919,0.6988,0.92194,0.64326,0.91296,0.75688,0.73787,0.25386,0.72219,0.81555,0.000516079,0.000516079,0.000516079
30,1244.43,0.41204,0.70105,0.91343,0.69417,0.91064,0.81047,0.79737,0.23587,0.65311,0.80678,0.000509011,0.000509011,0.000509011
31,1286.27,0.44745,0.67803,0.93659,0.67064,0.96296,0.83104,0.82359,0.22551,0.53797,0.80683,0.000501942,0.000501942,0.000501942
32,1331.51,0.39665,0.6731,0.9111,0.6554,0.98148,0.83813,0.82668,0.21716,0.60728,0.79774,0.000494873,0.000494873,0.000494873
33,1378.84,0.41701,0.69058,0.92189,0.70691,0.95458,0.84878,0.84096,0.21936,0.57787,0.80351,0.000487805,0.000487805,0.000487805
34,1424.53,0.43395,0.67233,0.92681,0.70249,0.98148,0.82647,0.8078,0.24889,0.56842,0.80724,0.000480736,0.000480736,0.000480736
35,1471.91,0.40838,0.65609,0.92165,0.6964,0.98148,0.84909,0.83511,0.23856,0.56521,0.80968,0.000473668,0.000473668,0.000473668
36,1527.78,0.41307,0.6785,0.93257,0.69241,0.9759,0.81973,0.81208,0.21609,0.60525,0.80711,0.000466599,0.000466599,0.000466599
37,1584.29,0.39768,0.63475,0.92396,0.68381,0.95926,0.81237,0.80099,0.21706,0.61653,0.81019,0.00045953,0.00045953,0.00045953
38,1634.65,0.38735,0.6295,0.91188,0.70226,0.97731,0.80537,0.78654,0.23148,0.60292,0.81078,0.000452462,0.000452462,0.000452462
